time,time,d13c,d18O
61.001583,61001.583,1.4934136,0.75382179
61.005048,61005.048,1.4890447,0.7764051
61.007358,61007.358,1.4693019,0.74310732
61.010824,61010.824,1.4396549,0.68484479
61.015444,61015.444,1.4113243,0.65119386
61.018909,61018.909,1.3941396,0.68160486
61.022375,61022.375,1.3842052,0.73762083
61.02584,61025.84,1.3710688,0.75195694
61.029305,61029.305,1.3547264,0.68047541
61.033926,61033.926,1.3399258,0.57434803
61.036236,61036.236,1.334275,0.50925452
61.050097,61050.097,1.3420609,0.51223671
61.055873,61055.873,1.3600982,0.53774589
61.060493,61060.493,1.3802294,0.55257517
61.063959,61063.959,1.3992829,0.57892084
61.067424,61067.424,1.4151598,0.63631827
61.070889,61070.889,1.4255289,0.68756962
61.07551,61075.51,1.4268702,0.68605918
61.07782,61077.82,1.4258622,0.65631938
61.081285,61081.285,1.4321946,0.64991713
61.08475,61084.75,1.446864,0.66564614
61.088216,61088.216,1.4600027,0.69387138
61.091681,61091.681,1.4547664,0.7140426
61.097457,61097.457,1.4216882,0.71311104
61.102077,61102.077,1.35928,0.69269437
61.105542,61105.542,1.2931539,0.66096288
61.109008,61109.008,1.2544922,0.6378603
61.115938,61115.938,1.2550211,0.64266402
61.119404,61119.404,1.2673587,0.67501247
61.122869,61122.869,1.2640254,0.70307374
61.126334,61126.334,1.235823,0.69891977
61.1298,61129.8,1.2000029,0.64939731
61.13673,61136.73,1.1687601,0.58637553
61.13904,61139.04,1.1471059,0.54945976
61.142506,61142.506,1.1295556,0.56382078
61.147126,61147.126,1.1125598,0.59968853
61.154057,61154.057,1.1008117,0.61425716
61.157522,61157.522,1.078689,0.58129591
61.160987,61160.987,1.0248981,0.53070778
61.167918,61167.918,0.96022147,0.50388765
61.178314,61178.314,0.91375065,0.51288742
61.180624,61180.624,0.91150194,0.53360176
61.18409,61184.09,0.9408676,0.55318999
61.18871,61188.71,0.97300315,0.58459657
61.192175,61192.175,0.98124617,0.63008493
61.195641,61195.641,0.96663868,0.66079277
61.199106,61199.106,0.94189286,0.64562267
61.202571,61202.571,0.93434381,0.59980279
61.206037,61206.037,0.95010567,0.56395906
61.209502,61209.502,0.97005862,0.56093341
61.212967,61212.967,0.96878254,0.57105368
61.216433,61216.433,0.94523883,0.57117498
61.219898,61219.898,0.91687959,0.56596977
61.223363,61223.363,0.89703369,0.56317711
61.225673,61225.673,0.87427419,0.54425126
61.229139,61229.139,0.82891947,0.4736239
61.24069,61240.69,0.74973512,0.35856175
61.257306,61257.306,0.67017657,0.24477178
61.265889,61265.889,0.63759691,0.18234546
61.277334,61277.334,0.68236601,0.17830536
61.283056,61283.056,0.76211613,0.21375498
61.291639,61291.639,0.81509387,0.25093728
61.295931,61295.931,0.80639732,0.26017943
61.300223,61300.223,0.76555479,0.23471127
61.304514,61304.514,0.72745842,0.17595066
61.308806,61308.806,0.71252447,0.11299811
61.31739,61317.39,0.71595126,0.080607459
61.321681,61321.681,0.73480469,0.11230355
61.328834,61328.834,0.7690872,0.18313585
61.333126,61333.126,0.80478132,0.24014516
61.34314,61343.14,0.81792295,0.23653679
61.347047,61347.047,0.7919538,0.1875595
61.350184,61350.184,0.75037241,0.13331932
61.359596,61359.596,0.72929931,0.10112305
61.365871,61365.871,0.77579308,0.090356298
61.374237,61374.237,0.87596422,0.099243194
61.384695,61384.695,0.97451109,0.1053856
61.387833,61387.833,1.0219407,0.10750666
61.394108,61394.108,1.0288464,0.13551244
61.397245,61397.245,1.0300558,0.2210982
61.400382,61400.382,1.0527091,0.33879167
61.40352,61403.52,1.0939581,0.43274763
61.406657,61406.657,1.1436478,0.47534472
61.409794,61409.794,1.2139175,0.49090278
61.415023,61415.023,1.2718467,0.50148833
61.419207,61419.207,1.2705255,0.50979483
61.422344,61422.344,1.2407234,0.502074
61.425481,61425.481,1.2212151,0.47572964
61.428619,61428.619,1.2298415,0.44206741
61.431756,61431.756,1.2459583,0.42439044
61.434893,61434.893,1.250613,0.43809897
61.441168,61441.168,1.2419957,0.47925991
61.444306,61444.306,1.2370379,0.52094334
61.447443,61447.443,1.2448986,0.54405421
61.452672,61452.672,1.2660275,0.55276144
61.459993,61459.993,1.2833235,0.55630469
61.46313,61463.13,1.2796196,0.54319471
61.466267,61466.267,1.2433872,0.48652431
61.469405,61469.405,1.1930022,0.40641761
61.472542,61472.542,1.1561534,0.36193281
61.475679,61475.679,1.1552179,0.40272561
61.478817,61478.817,1.169163,0.49035057
61.481954,61481.954,1.1605633,0.55171406
61.485092,61485.092,1.1170279,0.5510093
61.500779,61500.779,1.0616803,0.52406192
61.503916,61503.916,1.0103678,0.50522673
61.507053,61507.053,0.95582265,0.49393603
61.516465,61516.465,0.90409184,0.47360981
61.519603,61519.603,0.90011179,0.45458469
61.526923,61526.923,0.95349413,0.44240436
61.531107,61531.107,1.0470698,0.44775888
61.538427,61538.427,1.1464967,0.48870432
61.544702,61544.702,1.2182895,0.59200621
61.549931,61549.931,1.2465646,0.68832785
61.550977,61550.977,1.241305,0.70784426
61.554114,61554.114,1.2241814,0.68694586
61.557251,61557.251,1.1968428,0.65885842
61.563526,61563.526,1.1637354,0.63111949
61.566664,61566.664,1.1341398,0.59906209
61.568755,61568.755,1.1169562,0.57760477
61.571892,61571.892,1.1055667,0.56006896
61.576076,61576.076,1.0883873,0.5348621
61.579213,61579.213,1.0668693,0.50953215
61.58235,61582.35,1.0486777,0.5241341
61.585488,61585.488,1.0355045,0.57556492
61.588625,61588.625,1.0198407,0.60663527
61.591763,61591.763,1.0115052,0.55669349
61.5949,61594.9,1.0151353,0.45601523
61.601175,61601.175,1.0154495,0.38380197
61.604312,61604.312,0.98971695,0.38689578
61.617907,61617.907,0.95316863,0.42605156
61.62523,61625.23,0.93866467,0.45133993
61.639615,61639.615,0.94306368,0.43971509
61.644845,61644.845,0.9540258,0.42173618
61.648769,61648.769,0.95393151,0.42788142
61.652692,61652.692,0.94669372,0.47304887
61.657922,61657.922,0.95227098,0.53204829
61.665769,61665.769,0.98087406,0.57522535
61.668384,61668.384,1.0121657,0.58698595
61.672307,61672.307,1.020282,0.57962197
61.677538,61677.538,0.99321038,0.56530857
61.681461,61681.461,0.94824904,0.53734165
61.685384,61685.384,0.90350115,0.49249297
61.69323,61693.23,0.86352414,0.44815108
61.697154,61697.154,0.82818574,0.42387155
61.699769,61699.769,0.80855507,0.42140681
61.703692,61703.692,0.80712342,0.43144083
61.707615,61707.615,0.81346226,0.45817715
61.712846,61712.846,0.81926012,0.494086
61.716769,61716.769,0.81678766,0.51225132
61.719385,61719.385,0.79758722,0.4602122
