"Time_ka","ecc_LA11"
49999,0.038092529
50000,0.037492347
50001,0.036766354
50002,0.036054891
50003,0.035373042
50004,0.034618218
50005,0.033868068
50006,0.03311361
50007,0.03235282
50008,0.031589971
50009,0.030794519
50010,0.030066635
50011,0.029329516
50012,0.028539876
50013,0.027912628
50014,0.027192226
50015,0.026559079
50016,0.025956003
50017,0.025405209
50018,0.024878674
50019,0.024407468
50020,0.023998653
50021,0.023653351
50022,0.023310375
50023,0.023092874
50024,0.022929618
50025,0.022754944
50026,0.022737005
50027,0.022733423
50028,0.022778532
50029,0.022891079
50030,0.023079591
50031,0.023274983
50032,0.02352982
50033,0.023830103
50034,0.024177398
50035,0.024523095
50036,0.024898801
50037,0.025387374
50038,0.025745101
50039,0.02624734
50040,0.026728279
50041,0.027176668
50042,0.02768413
50043,0.028171522
50044,0.028645673
50045,0.02915761
50046,0.029585518
50047,0.030136196
50048,0.030544858
50049,0.031003763
50050,0.031490435
50051,0.031882182
50052,0.032292436
50053,0.032738559
50054,0.033093022
50055,0.033484913
50056,0.033850083
50057,0.034211917
50058,0.034572388
50059,0.03486857
50060,0.035254625
50061,0.035551994
50062,0.035846501
50063,0.036189279
50064,0.03648922
50065,0.036742093
50066,0.03706617
50067,0.037338081
50068,0.037577734
50069,0.037862355
50070,0.038065717
50071,0.038338857
50072,0.038491603
50073,0.038705943
50074,0.03890982
50075,0.039009432
50076,0.039177481
50077,0.039308644
50078,0.039379269
50079,0.039468125
50080,0.039524441
50081,0.039563594
50082,0.03956125
50083,0.039529299
50084,0.039564547
50085,0.039425214
50086,0.039379307
50087,0.039295295
50088,0.039134748
50089,0.038975773
50090,0.038797473
50091,0.038553254
50092,0.038304444
50093,0.037958507
50094,0.037684253
50095,0.037261348
50096,0.036836844
50097,0.036433986
50098,0.035903722
50099,0.03538511
50100,0.034838001
50101,0.034245765
50102,0.033598448
50103,0.032945666
50104,0.032242276
50105,0.03153863
50106,0.030727636
50107,0.029958005
